http://ok.zoho.to//i/?T=%E5%A4%AE%E5%8D%AB%E7%94%B5%E8%A7%86%E6%96%87%E4%BB%B6
中央卫视,#genre#
CCTV13,http://125.107.250.38:5522/rtp/233.50.200.111:5140$浙江电信fofa
CCTV14,http://110.181.235.59:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0$大同电信15
CCTV14,http://183.144.84.5:8888/rtp/233.50.200.103:5140$浙江电信fofa
CCTV14,http://222.90.155.221:7286/rtp/239.112.205.91:5140$陕西cip1
CCTV14,http://61.173.162.19:5000/rtp/239.45.3.23:5140$上海电信fofa
CCTV14,http://27.19.146.199:2701/rtp/239.69.1.107:10280$湖北sxcp
CCTV15,http://58.35.103.119:3333/rtp/239.45.0.20:5140$上海电信fofa
CCTV15,http://222.90.155.221:7286/rtp/239.112.205.214:5140$陕西cip1
CCTV15,http://27.19.146.199:2701/rtp/239.69.1.155:10566$湖北sxcp
CCTV15,http://58.48.105.149:4022/rtp/239.69.1.155:10566$湖北cphp1
CCTV15,http://61.173.162.19:5000/rtp/239.45.0.20:5140$上海电信fofa
CCTV16,http://222.90.155.221:7286/rtp/239.111.205.134:5140$陕西cip1
CCTV16,http://61.173.162.19:5000/rtp/239.45.0.10:5140$上海电信fofa
CCTV16,http://27.19.146.199:2701/rtp/239.69.1.247:11124$湖北sxcp
CCTV16,http://58.48.105.149:4022/rtp/239.69.1.247:11124$湖北cphp1
CCTV16,http://115.197.131.63:8888/rtp/233.50.200.112:5140$浙江电信fofa
CCTV17,http://183.141.20.158:9999/rtp/233.50.200.113:5140$浙江电信fofa
CCTV17,http://27.19.146.199:2701/rtp/239.69.1.152:10548$湖北sxcp
CCTV17,http://222.90.155.221:7286/rtp/239.112.205.211:5140$陕西cip1
CCTV17,http://61.173.162.19:5000/rtp/239.45.3.52:5140$上海电信fofa
CCTV17,http://58.48.105.149:4022/rtp/239.69.1.152:10548$湖北cphp1
凤凰卫视中文台,http://116.77.33.98:44330/tsfile/live/1011_1.m3u8?key=txiptv&playlive=0&authid=0$深圳天威1
凤凰卫视中文台,http://171.213.239.116:8188/rtp/239.93.0.162:2192$四川cip1
凤凰卫视中文台,http://171.213.213.138:4022/rtp/239.93.0.162:2192$四川cphp3
凤凰卫视中文台,http://171.213.160.44:4022/rtp/239.93.0.162:2192$四川cphp4
凤凰卫视中文台,http://171.213.239.116:8188/rtp/239.93.0.162:2192$四川cphp1
凤凰卫视资讯台,http://171.213.239.116:8188/rtp/239.93.0.118:2191$四川cip1
凤凰卫视资讯台,http://171.213.239.116:8188/rtp/239.93.0.118:2191$四川cphp1
凤凰卫视资讯台,http://171.213.213.138:4022/rtp/239.93.0.118:2191$四川cphp3
凤凰卫视资讯台,http://171.213.160.44:4022/rtp/239.93.0.118:2191$四川cphp4
凤凰卫视资讯台,http://113.240.178.252:8888/rtp/239.76.253.135:9000$湖南电信fofa
安徽卫视,http://27.19.146.199:2701/rtp/239.69.1.70:10060$湖北sxcp
安徽卫视,http://58.35.103.119:3333/rtp/239.45.1.120:5140$上海电信fofa
安徽卫视,http://58.48.105.149:4022/rtp/239.69.1.70:10060$湖北cphp1
安徽卫视,http://116.237.139.191:8888/rtp/239.45.1.120:5140$上海电信fofa
安徽卫视,http://61.173.162.19:5000/rtp/239.45.1.120:5140$上海电信fofa
北京卫视,http://58.35.103.119:3333/rtp/239.45.3.229:5140$上海电信fofa
北京卫视,http://58.48.105.149:4022/rtp/239.254.96.141:8920$湖北cphp1
北京卫视,http://27.19.146.199:2701/rtp/239.254.96.141:8920$湖北sxcp
北京卫视,http://116.237.139.191:8888/rtp/239.45.3.229:5140$上海电信fofa
北京卫视,http://61.173.162.19:5000/rtp/239.45.3.229:5140$上海电信fofa
重庆卫视,http://27.19.146.199:2701/rtp/239.69.1.149:10530$湖北sxcp
重庆卫视,http://61.173.162.19:5000/rtp/239.45.1.84:5140$上海电信fofa
重庆卫视,http://58.48.105.149:4022/rtp/239.69.1.149:10530$湖北cphp1
重庆卫视,http://116.237.139.191:8888/rtp/239.45.1.84:5140$上海电信fofa
重庆卫视,http://58.35.103.119:3333/rtp/239.45.1.84:5140$上海电信fofa
东南卫视,http://58.35.103.119:3333/rtp/239.45.1.121:5140$上海电信fofa
东南卫视,http://58.48.105.149:4022/rtp/239.69.1.108:10286$湖北cphp1
东南卫视,http://27.19.146.199:2701/rtp/239.69.1.108:10286$湖北sxcp
东南卫视,http://61.173.162.19:5000/rtp/239.45.1.121:5140$上海电信fofa
东南卫视,http://116.237.139.191:8888/rtp/239.45.1.121:5140$上海电信fofa
东方卫视,http://27.19.146.199:2701/rtp/239.254.96.142:8926$湖北sxcp
东方卫视,http://58.48.105.149:4022/rtp/239.254.96.142:8926$湖北cphp1
东方卫视,http://221.233.50.143:8880/rtp/239.254.96.142:8926$湖北fofa
东方卫视,http://171.213.239.116:8188/rtp/239.93.0.123:5140$四川cip1
东方卫视,http://113.101.244.252:10000/rtp/239.77.1.218:5146$广东sxcp
广东卫视,http://58.48.105.149:4022/rtp/239.254.96.140:8914$湖北cphp1
广东卫视,http://61.173.162.19:5000/rtp/239.45.3.230:5140$上海电信fofa
广东卫视,http://27.19.146.199:2701/rtp/239.254.96.140:8914$湖北sxcp
广东卫视,http://58.35.103.119:3333/rtp/239.45.3.230:5140$上海电信fofa
广东卫视,http://116.237.139.191:8888/rtp/239.45.3.230:5140$上海电信fofa
广西卫视,http://27.19.146.199:2701/rtp/239.69.1.191:10788$湖北sxcp
广西卫视,http://58.48.105.149:4022/rtp/239.69.1.191:10788$湖北cphp1
广西卫视,http://58.35.103.119:3333/rtp/239.45.0.5:5140$上海电信fofa
广西卫视,http://61.173.162.19:5000/rtp/239.45.0.5:5140$上海电信fofa
广西卫视,http://116.237.139.191:8888/rtp/239.45.0.5:5140$上海电信fofa
