http://www.52top.com.cn:678/migu_video/interface.txt
央视,#genre#
CCTV10科教,http://gslbmgsplive.miguvideo.com/wd_r2/2018/ocn/cctv10hd/1000/index.m3u8?msisdn=202509170902369b8f5f2619f84690880a6f54108914c1&mdspid=&spid=699004&netType=0&sid=5500212874&pid=2028597139&timestamp=20250917090236&Channel_ID=0116_2600037000-99000-200300220100002&ProgramID=624878405&ParentNodeID=-99&assertID=5500212874&client_ip=123.119.84.37&SecurityKey=20250917090236&promotionId=&mvid=5100001696&mcid=500020&playurlVersion=ZQ-A1-8.9.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=7cbc6de5158b54d0f6a5f3a4de292ceb&ddCalcu=b7ecvcba2cy96a2deed541a538fb55a46df0&sv=10004&ct=android
CCTV11戏曲,http://gslbmgsplive.miguvideo.com/migu/kailu/cctv11hd/50/20200103/index.m3u8?msisdn=202509170902363ba7c8e3513b433c81dddfd19961c14c&mdspid=&spid=699004&netType=0&sid=5500988610&pid=2028597139&timestamp=20250917090236&Channel_ID=0116_2600037000-99000-200300220100002&ProgramID=667987558&ParentNodeID=-99&assertID=5500988610&client_ip=123.119.84.37&SecurityKey=20250917090236&promotionId=&mvid=5102751362&mcid=500020&playurlVersion=ZQ-A1-8.9.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=7a1b5071a6d269c72e0a6ba246ef9a4d&ddCalcu=d74ava1a9bzf5ae067412aa6bd62a609ec27&sv=10004&ct=android
CCTV12社会与法,http://gslbmgsplive.miguvideo.com/migu/kailu/20200324/cctv12hd/50/index.m3u8?msisdn=202509170902377e7b4cdafbed439592b35dfd43fbe3f7&mdspid=&spid=699004&netType=0&sid=5501083627&pid=2028597139&timestamp=20250917090237&Channel_ID=0116_2600037000-99000-200300220100002&ProgramID=673168185&ParentNodeID=-99&assertID=5501083627&client_ip=123.119.84.37&SecurityKey=20250917090237&promotionId=&mvid=5102910389&mcid=500020&playurlVersion=ZQ-A1-8.9.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=ee52d19c6d0051899cc4612ac8e49dd0&ddCalcu=0edevd5a92d4dae189cca62d106045c1c899&sv=10004&ct=android
CCTV13新闻,http://gslbmgsplive.miguvideo.com/envivo_x/2018/SD/cctv13/1000/index.m3u8?msisdn=2025091709023711095f1c6a8e4f428f86421b6e14994f&mdspid=&spid=699004&netType=0&sid=2202208864&pid=2028597139&timestamp=20250917090237&Channel_ID=0116_2600037000-99000-200300220100002&ProgramID=608807423&ParentNodeID=-99&assertID=2202208864&client_ip=123.119.84.37&SecurityKey=20250917090237&promotionId=&mvid=2202208864&mcid=500020&playurlVersion=ZQ-A1-8.9.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=f56be385e19d4e3121f0ac4428a68a9c&ddCalcu=cf95va6a8by6eaa388254e41c9ad04fe1321&sv=10004&ct=android
CCTV14少儿,http://gslbmgsplive.miguvideo.com/wd_r2/2018/ocn/cctv14hd/1000/index.m3u8?msisdn=202509170902379709a097550b444dae2a18561c2a3847&mdspid=&spid=699004&netType=0&sid=5500212875&pid=2028597139&timestamp=20250917090237&Channel_ID=0116_2600037000-99000-200300220100002&ProgramID=624878440&ParentNodeID=-99&assertID=5500212875&client_ip=123.119.84.37&SecurityKey=20250917090237&promotionId=&mvid=5100001697&mcid=500020&playurlVersion=ZQ-A1-8.9.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=89f57ac965daa0983eb9fea2a22ce556&ddCalcu=6859v5fae5yc7a2a2ca926a5edfa9ab0e938&sv=10004&ct=android
CCTV15音乐,http://gslbmgsplive.miguvideo.com/migu/kailu/20200324/cctv15hd/50/index.m3u8?msisdn=202509170902374fe666a3869d4ab581867978574598dc&mdspid=&spid=699004&netType=0&sid=5501083628&pid=2028597139&timestamp=20250917090237&Channel_ID=0116_2600037000-99000-200300220100002&ProgramID=673168223&ParentNodeID=-99&assertID=5501083628&client_ip=123.119.84.37&SecurityKey=20250917090237&promotionId=&mvid=5102910391&mcid=500020&playurlVersion=ZQ-A1-8.9.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=bf6a246b4485d7f995c4db7675c70fb0&ddCalcu=0bbfvf6a0aa72ac4567b6474b8d54dc75f99&sv=10004&ct=android
CCTV17农业农村,http://gslbmgsplive.miguvideo.com/migu/kailu/20200324/cctv17hd/50/index.m3u8?msisdn=20250917090237c4d2c4e89d1349ecad98b85127c93105&mdspid=&spid=699004&netType=0&sid=5501083631&pid=2028597139&timestamp=20250917090237&Channel_ID=0116_2600037000-99000-200300220100002&ProgramID=673168256&ParentNodeID=-99&assertID=5501083631&client_ip=123.119.84.37&SecurityKey=20250917090237&promotionId=&mvid=5102910396&mcid=500020&playurlVersion=ZQ-A1-8.9.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=03c7ab66f39b6bdc832d10b36284e906&ddCalcu=6003v9cae7a4aa8b26663fb3091bd62b3d8c&sv=10004&ct=android
CCTV4欧洲,http://gslbmgsplive.miguvideo.com/migu/kailu/20200324/cctv4ouhd/50/index.m3u8?msisdn=20250917090237b1bc8d63c34e43a68f4d4f7f416532f7&mdspid=&spid=699004&netType=0&sid=2200179315&pid=2028597139&timestamp=20250917090237&Channel_ID=0116_2600037000-99000-200300220100002&ProgramID=608807419&ParentNodeID=-99&assertID=2200179315&client_ip=123.119.84.37&SecurityKey=20250917090237&promotionId=&mvid=2200179315&mcid=500020&playurlVersion=ZQ-A1-8.9.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=8ed640f99df2b138b9f6512272a14b4c&ddCalcu=c84evbda46y14aa02f79292d1f526bf193b8&sv=10004&ct=android
CCTV4美洲,http://gslbmgsplive.miguvideo.com/migu/kailu/20200324/cctv4meihd/50/index.m3u8?msisdn=20250917090238ed2a9d2f3734474f89d8fae8f1ee71a2&mdspid=&spid=699004&netType=0&sid=2200179344&pid=2028597139&timestamp=20250917090238&Channel_ID=0116_2600037000-99000-200300220100002&ProgramID=608807416&ParentNodeID=-99&assertID=2200179344&client_ip=123.119.84.37&SecurityKey=20250917090238&promotionId=&mvid=2200179344&mcid=500020&playurlVersion=ZQ-A1-8.9.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=54a3d6d476b29af6d20f409ad3e93b21&ddCalcu=1524vbaa33y9dae63dd4a7960b42f90a2fd6&sv=10004&ct=android
CGTN外语纪录,http://gslbmgsplive.miguvideo.com/envivo_v/2018/SD/cctv/doc/1000/index.m3u8?msisdn=202509170902380f0a5830814740f8b4f0ef10bc4e5ce6&mdspid=&spid=699004&netType=0&sid=2200179356&pid=2028597139&timestamp=20250917090238&Channel_ID=0116_2600037000-99000-200300220100002&ProgramID=609006487&ParentNodeID=-99&assertID=2200179356&client_ip=123.119.84.37&SecurityKey=20250917090238&promotionId=&mvid=2200179356&mcid=500020&playurlVersion=ZQ-A1-8.9.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=c9544649cfe699d0f9575202b2d1737d&ddCalcu=dc79v35a74y14ad624b92c0f2e5679599df0&sv=10004&ct=android
