http://txt.gt.tc/users/XDTV.txt
XDTV,#genre#
中视,rtmp://f13h.mine.nu/sat/tv091
华视,rtmp://f13h.mine.nu/sat/tv111
台视,rtmp://f13h.mine.nu/sat/tv071
非凡新闻,rtmp://f13h.mine.nu/sat/tv581
东森超视,rtmp://f13h.mine.nu/sat/tv331
tvbs,http://61.221.215.25:8800/hls/9/index.m3u8
三立戏剧,http://61.221.215.25:8800/hls/41/index.m3u8
中天娱乐,http://61.221.215.25:8800/hls/47/index.m3u8
纬来精彩,http://61.221.215.25:8800/hls/48/index.m3u8
动物星球,http://61.221.215.25:8800/hls/57/index.m3u8
龙华电影,https://cdn8.163189.xyz/live/lhdy/stream.m3u8
龙华经典,https://cdn8.163189.xyz/live/lhjd/stream.m3u8
龙华卡通,https://cdn8.163189.xyz/live/lhkt/stream.m3u8
龙华偶像,https://cdn8.163189.xyz/live/lhox/stream.m3u8
龙华日韩,https://cdn8.163189.xyz/live/lhrh/stream.m3u8
龙华戏剧,https://cdn8.163189.xyz/live/lhxj/stream.m3u8
纬来育乐,rtmp://f13h.mine.nu/sat/tv701
纬来日本,rtmp://f13h.mine.nu/sat/tv771
纬来体育,rtmp://f13h.mine.nu/sat/tv721
DAZN,rtmp://f13h.mine.nu/sat/tv731
DAZN,rtmp://f13h.mine.nu/sat/tv741
momo,rtmp://f13h.mine.nu/sat/tv761




_020,#genre#

:25461/live-G2s9zK2n9m/xDtwVfWM8T/90.ts
极限,http://play.jkyfg.com:80/live/c4d81840eca82a94284d226d31b084ea.flv
happy,http://play.jkyfg.com:80/live/6f824f5ca95f3d6cde8fb635ee55f178.flv
香蕉,http://play.jkyfg.com:80/live/32d6ad6464a1ccac6740f3e6ae7c0382.flv
惊艳,http://play.jkyfg.com:80/live/df13954ae64f49e256863f7d553d90e9.flv
潘多拉,http://play.jkyfg.com:80/live/7629a4f16e5331142e612215cd01bf55.flv
彩虹电影,http://play.jkyfg.com:80/live/ee4348f06f3dbccdd8ab80a910a493ee.flv
彩虹k,http://play.jkyfg.com:80/live/e9c3347c2f3e35cc62772db9e85fef74.flv
彩虹e,http://play.jkyfg.com:80/live/ebfe956d5eea964a5aff2a72a682d7c0.flv
松视3,http://play.jkyfg.com:80/live/5a9f1e25a6181fafa7c2ceaed7b48ae1.flv
松视1,http://play.jkyfg.com:80/live/61ac0edd99c2b3861a7cb17a6d00b758.flv
