http://be.is-best.net/i/8/5611948.txt
IPTV上海,#genre#
CETV1,http://114.95.208.163:8888/udp/239.45.1.125:5140
CETV2 SD,http://114.95.208.163:8888/udp/239.45.1.52:5140
CETV4,http://114.95.208.163:8888/udp/239.45.0.21:5140
CETV4,http://114.95.208.163:8888/udp/239.45.1.243:5140
CGTN SD,http://114.95.208.163:8888/udp/239.45.1.194:5140
IPTV卫视,#genre#
安徽卫视,http://114.95.208.163:8888/udp/239.45.3.143:5140
安徽卫视,http://114.95.208.163:8888/udp/239.45.1.120:5140
北京卫视,http://114.95.208.163:8888/udp/239.45.3.229:5140
兵团卫视,http://114.95.208.163:8888/udp/239.45.1.117:5140
东南卫视,http://114.95.208.163:8888/udp/239.45.1.121:5140
甘肃卫视,http://114.95.208.163:8888/udp/239.45.0.15:5140
广东卫视,http://114.95.208.163:8888/udp/239.45.3.230:5140
广西卫视,http://114.95.208.163:8888/udp/239.45.0.5:5140
贵州卫视,http://114.95.208.163:8888/udp/239.45.1.80:5140
海南卫视,http://114.95.208.163:8888/udp/239.45.1.81:5140
河北卫视,http://114.95.208.163:8888/udp/239.45.1.44:5140
河南卫视,http://114.95.208.163:8888/udp/239.45.0.3:5140
黑龙江卫视,http://114.95.208.163:8888/udp/239.45.3.232:5140
湖北卫视,http://114.95.208.163:8888/udp/239.45.3.239:5140
湖南卫视,http://114.95.208.163:8888/udp/239.45.3.228:5140
吉林卫视,http://114.95.208.163:8888/udp/239.45.0.6:5140
吉林卫视,http://114.95.208.163:8888/udp/239.45.3.248:5140
江苏卫视,http://114.95.208.163:8888/udp/239.45.3.177:5140
江西卫视,http://114.95.208.163:8888/udp/239.45.1.122:5140
康巴卫视,http://114.95.208.163:8888/udp/239.45.1.251:5140
辽宁卫视,http://114.95.208.163:8888/udp/239.45.1.123:5140
内蒙古卫视,http://114.95.208.163:8888/udp/239.45.1.238:5140
宁夏卫视,http://114.95.208.163:8888/udp/239.45.1.213:5140
青海卫视,http://114.95.208.163:8888/udp/239.45.0.37:5140
山东卫视,http://114.95.208.163:8888/udp/239.45.3.238:5140
山西卫视,http://114.95.208.163:8888/udp/239.45.1.229:5140
陕西卫视,http://114.95.208.163:8888/udp/239.45.1.232:5140
深圳卫视,http://114.95.208.163:8888/udp/239.45.3.231:5140
四川卫视,http://114.95.208.163:8888/udp/239.45.1.83:5140
四川卫视,http://114.95.208.163:8888/udp/239.45.1.23:5140
云南卫视,http://114.95.208.163:8888/udp/239.45.0.4:5140
云南卫视,http://114.95.208.163:8888/udp/239.45.3.206:5140
浙江卫视,http://114.95.208.163:8888/udp/239.45.3.178:5140
重庆卫视,http://114.95.208.163:8888/udp/239.45.1.84:5140
天津卫视,http://114.95.208.163:8888/udp/239.45.1.124:5140
新疆卫视,http://114.95.208.163:8888/udp/239.45.1.116:5140
西藏卫视,http://114.95.208.163:8888/udp/239.45.1.231:5140
三沙卫视,http://114.95.208.163:8888/udp/239.45.0.56:5140
延边卫视,http://114.95.208.163:8888/udp/239.45.0.39:5140
新闻综合SD,http://114.95.208.163:8888/udp/239.45.3.241:5140
东方卫视SD,http://114.95.208.163:8888/udp/239.45.3.242:5140
东方影视SD,http://114.95.208.163:8888/udp/239.45.3.245:5140
都市频道SD,http://114.95.208.163:8888/udp/239.45.3.243:5140
东方卫视SD,http://114.95.208.163:8888/udp/239.45.3.249:5140
五星体育SD,http://114.95.208.163:8888/udp/239.45.3.112:5140
东方卫视SD,http://114.95.208.163:8888/udp/239.45.3.247:5140
法治天地SD,http://114.95.208.163:8888/udp/239.45.1.192:5140
财富天下SD,http://114.95.208.163:8888/udp/239.45.0.7:5140
第1财经SD,http://114.95.208.163:8888/udp/239.45.3.111:5140
上海教育SD,http://114.95.208.163:8888/udp/239.45.3.252:5140
金色学堂SD,http://114.95.208.163:8888/udp/239.45.1.118:5140
金鹰卡通SD,http://114.95.208.163:8888/udp/239.45.3.119:5140
卡酷少儿SD,http://114.95.208.163:8888/udp/239.45.1.49:5140
游戏风云SD,http://114.95.208.163:8888/udp/239.45.3.64:5140
哈哈炫动SD,http://114.95.208.163:8888/udp/239.45.3.187:5140
无名频道SD,http://114.95.208.163:8888/udp/239.45.3.9:5140
先锋乒羽SD,http://114.95.208.163:8888/udp/239.45.3.43:5140
家庭理财SD,http://114.95.208.163:8888/udp/239.45.0.14:5140
嘉定电视SD,http://114.95.208.163:8888/udp/239.45.3.185:5140
嘉佳卡通SD,http://114.95.208.163:8888/udp/239.45.1.48:5140
IPTV广告,http://114.95.208.163:8888/udp/239.45.3.103:5140
IPTV广告,http://114.95.208.163:8888/udp/239.45.3.103:5140
养殖频道,http://114.95.208.163:8888/udp/239.45.1.8:5140
养殖频道,http://114.95.208.163:8888/udp/239.45.1.8:5140
BesTV无内容,http://114.95.208.163:8888/udp/239.45.3.53:5140
BesTV无内容,http://114.95.208.163:8888/udp/239.45.3.137:5140
BesTV无内容,http://114.95.208.163:8888/udp/239.45.3.139:5140
BesTV无内容,http://114.95.208.163:8888/udp/239.45.3.216:5140
BesTV无内容,http://114.95.208.163:8888/udp/239.45.3.138:5140
BesTV无内容,http://114.95.208.163:8888/udp/239.45.3.54:5140
BesTV无内容,http://114.95.208.163:8888/udp/239.45.3.55:5140
BesTV无内容,http://114.95.208.163:8888/udp/239.45.3.157:5140
BesTV无内容,http://114.95.208.163:8888/udp/239.45.3.140:5140
CCTV标清,#genre#
CCTV1 SD,http://114.95.208.163:8888/udp/239.45.3.188:5140
CCTV2 SD,http://114.95.208.163:8888/udp/239.45.3.189:5140
CCTV3 SD,http://114.95.208.163:8888/udp/239.45.3.27:5140
CCTV3 SD,http://114.95.208.163:8888/udp/239.45.3.113:5140
CCTV4 SD,http://114.95.208.163:8888/udp/239.45.3.190:5140
CCTV5 SD,http://114.95.208.163:8888/udp/239.45.3.29:5140
CCTV5 SD,http://114.95.208.163:8888/udp/239.45.3.114:5140
CCTV6 SD,http://114.95.208.163:8888/udp/239.45.3.30:5140
CCTV6 SD,http://114.95.208.163:8888/udp/239.45.3.115:5140
CCTV7 SD,http://114.95.208.163:8888/udp/239.45.1.193:5140
CCTV8 SD,http://114.95.208.163:8888/udp/239.45.1.113:5140
CCTV8 SD,http://114.95.208.163:8888/udp/239.45.3.32:5140
CCTV9 SD,http://114.95.208.163:8888/udp/239.45.3.2:5140
CCTV10 SD,http://114.95.208.163:8888/udp/239.45.1.195:5140
CCTV11 SD,http://114.95.208.163:8888/udp/239.45.1.196:5140
CCTV12 SD,http://114.95.208.163:8888/udp/239.45.1.197:5140
CCTV13 SD,http://114.95.208.163:8888/udp/239.45.1.198:5140
CCTV14 SD,http://114.95.208.163:8888/udp/239.45.1.199:5140
CCTV15 SD,http://114.95.208.163:8888/udp/239.45.1.200:5140
CCTV17 SD,http://114.95.208.163:8888/udp/239.45.3.1:5140
CETV1 SD,http://114.95.208.163:8888/udp/239.45.1.51:5140
CETV4 SD,http://114.95.208.163:8888/udp/239.45.1.50:5140
安徽卫视SD,http://114.95.208.163:8888/udp/239.45.1.223:5140
北京卫视SD,http://114.95.208.163:8888/udp/239.45.1.214:5140
东南卫视SD,http://114.95.208.163:8888/udp/239.45.1.224:5140
甘肃卫视SD,http://114.95.208.163:8888/udp/239.45.1.234:5140
广东卫视SD,http://114.95.208.163:8888/udp/239.45.1.235:5140
广西卫视SD,http://114.95.208.163:8888/udp/239.45.1.219:5140
贵州卫视SD,http://114.95.208.163:8888/udp/239.45.1.241:5140
海南卫视SD,http://114.95.208.163:8888/udp/239.45.1.218:5140
河北卫视SD,http://114.95.208.163:8888/udp/239.45.1.237:5140
河南卫视SD,http://114.95.208.163:8888/udp/239.45.1.242:5140
黑龙江卫视SD,http://114.95.208.163:8888/udp/239.45.1.236:5140
湖北卫视SD,http://114.95.208.163:8888/udp/239.45.1.239:5140
湖南卫视SD,http://114.95.208.163:8888/udp/239.45.1.215:5140
吉林卫视SD,http://114.95.208.163:8888/udp/239.45.1.228:5140
江苏卫视SD,http://114.95.208.163:8888/udp/239.45.1.216:5140
江西卫视SD,http://114.95.208.163:8888/udp/239.45.1.227:5140
辽宁卫视SD,http://114.95.208.163:8888/udp/239.45.1.222:5140
青海卫视SD,http://114.95.208.163:8888/udp/239.45.1.230:5140
山东卫视SD,http://114.95.208.163:8888/udp/239.45.1.221:5140
深圳卫视SD,http://114.95.208.163:8888/udp/239.45.1.115:5140
四川卫视SD,http://114.95.208.163:8888/udp/239.45.1.220:5140
天津卫视SD,http://114.95.208.163:8888/udp/239.45.1.226:5140
云南卫视SD,http://114.95.208.163:8888/udp/239.45.1.233:5140
浙江卫视SD,http://114.95.208.163:8888/udp/239.45.1.217:5140
重庆卫视SD,http://114.95.208.163:8888/udp/239.45.1.240:5140
内蒙古卫视SD,http://114.95.208.163:8888/udp/239.45.1.238:5140
三沙卫视SD,http://114.95.208.163:8888/udp/239.45.1.82:5140
CCTV中视购物,http://114.95.208.163:8888/udp/239.45.1.56:5140
央广购物,http://114.95.208.163:8888/udp/239.45.0.35:5140
央广购物SD,http://114.95.208.163:8888/udp/239.45.3.213:5140
大国好物,http://114.95.208.163:8888/udp/239.45.1.57:5140
东方购物,http://114.95.208.163:8888/udp/239.45.3.74:5140
东方购物,http://114.95.208.163:8888/udp/239.45.3.75:5140
东方购物,http://114.95.208.163:8888/udp/239.45.3.207:5140
东方购物SD,http://114.95.208.163:8888/udp/239.45.1.111:5140
东方购物SD,http://114.95.208.163:8888/udp/239.45.3.250:5140
风尚购物SD,http://114.95.208.163:8888/udp/239.45.1.27:5140
好享购物SD,http://114.95.208.163:8888/udp/239.45.1.253:5140
好享购物SD,http://114.95.208.163:8888/udp/239.45.3.194:5140
环球精选SD,http://114.95.208.163:8888/udp/239.45.3.123:5140
家有购物,http://114.95.208.163:8888/udp/239.45.1.58:5140
家有购物SD,http://114.95.208.163:8888/udp/239.45.1.43:5140
快乐购SD,http://114.95.208.163:8888/udp/239.45.1.53:5140
优购物,http://114.95.208.163:8888/udp/239.45.0.36:5140

江苏,#genre#
itv导视,http://home.amucn.net:8800/udp/239.49.8.34:8612
导视,http://home.amucn.net:8800/udp/239.49.0.190:9458
江苏城市,http://home.amucn.net:8800/udp/239.49.8.107:8000
江苏综艺,http://home.amucn.net:8800/udp/239.49.8.108:8000
江苏影视,http://home.amucn.net:8800/udp/239.49.8.118:8000
江苏体育休闲,http://home.amucn.net:8800/udp/239.49.8.117:8000
江苏新闻,http://home.amucn.net:8800/udp/239.49.8.120:8000
优漫卡通,http://home.amucn.net:8800/udp/239.49.8.119:8000
江苏教育,http://home.amucn.net:8800/udp/239.49.8.122:8000
盐城-1,http://home.amucn.net:8800/udp/239.49.8.30:8000
盐城-2,http://home.amucn.net:8800/udp/239.49.0.88:8000
盐城-3,http://home.amucn.net:8800/udp/239.49.0.91:8000
沛县综合,http://home.amucn.net:8800/udp/239.49.0.214:8000
苏州生活资讯,http://home.amucn.net:8800/udp/239.49.8.116:8000
高淳综合,http://home.amucn.net:8800/udp/239.49.0.74:8000
南京影视,http://home.amucn.net:8800/udp/239.49.0.24:8000
南京文旅纪录,http://home.amucn.net:8800/udp/239.49.0.38:8000
南京少儿,http://home.amucn.net:8800/udp/239.49.0.45:8000
泗洪综合,http://home.amucn.net:8800/udp/239.49.0.195:8000
南通综合,http://home.amucn.net:8800/udp/239.49.0.223:8000
南通公共,http://home.amucn.net:8800/udp/239.49.0.197:8000
南通社教,http://home.amucn.net:8800/udp/239.49.0.224:8000
徐州-1,http://home.amucn.net:8800/udp/239.49.0.203:8000
徐州-2,http://home.amucn.net:8800/udp/239.49.0.199:8000
徐州-3,http://home.amucn.net:8800/udp/239.49.0.211:8000
徐州-4,http://home.amucn.net:8800/udp/239.49.0.216:8000
泰州-1,http://home.amucn.net:8800/udp/239.49.0.215:8000
泰州-2,http://home.amucn.net:8800/udp/239.49.0.217:8000
泰州-3,http://home.amucn.net:8800/udp/239.49.0.222:8000
常州公共,http://home.amucn.net:8800/udp/239.49.0.218:9582
常州生活,http://home.amucn.net:8800/udp/239.49.0.219:9586
常州都市,http://home.amucn.net:8800/udp/239.49.0.220:9590
常州综合,http://home.amucn.net:8800/udp/239.49.0.221:9594
连云港综合,http://home.amucn.net:8800/udp/239.49.0.225:8000
连云港生活,http://home.amucn.net:8800/udp/239.49.0.229:8000
宿迁综合,http://home.amucn.net:8800/udp/239.49.0.231:8000
宿迁公共,http://home.amucn.net:8800/udp/239.49.0.236:8000
淮安综合,http://home.amucn.net:8800/udp/239.49.0.204:8000
淮安公共,http://home.amucn.net:8800/udp/239.49.0.181:8000
淮安影视娱乐,http://home.amucn.net:8800/udp/239.49.0.192:8000
宿豫综合,http://home.amucn.net:8800/udp/239.49.0.83:8000
