湖南频道,#genre#
CCTV8,http://tvgslb.hn.chinamobile.com:8089/180000001002/00000001000000000099000000197692/main.m3u8?stbid=
CCTV9,http://tvgslb.hn.chinamobile.com:8089/180000001002/00000001000000000008000000047438/main.m3u8?stbid=
CCTV10,http://tvgslb.hn.chinamobile.com:8089/180000001002/00000001000000000008000000047439/main.m3u8?stbid=
CCTV11,http://tvgslb.hn.chinamobile.com:8089/180000001002/00000001000000000026000000446966/main.m3u8?stbid=
CCTV12,http://tvgslb.hn.chinamobile.com:8089/180000001002/00000001000000000008000000047440/main.m3u8?stbid=
CCTV13,http://tvgslb.hn.chinamobile.com:8089/180000001002/00000001000000000099000000197693/main.m3u8?stbid=
CCTV14,http://tvgslb.hn.chinamobile.com:8089/180000001002/00000001000000000008000000047441/main.m3u8?stbid=
CCTV15,http://tvgslb.hn.chinamobile.com:8089/180000001002/00000001000000000026000000446967/main.m3u8?stbid=
CCTV16,http://tvgslb.hn.chinamobile.com:8089/180000001002/00000001000000000079000000434986/main.m3u8?stbid=
CCTV17,http://tvgslb.hn.chinamobile.com:8089/180000001002/00000001000000000025000000024152/main.m3u8?stbid=
卫视频道,#genre#


CHC动作电影,http://183.215.116.134:6610/180000001001/00000001000000000050000000448842/main.m3u8?IASHttpSessionId=OTT
CHC影迷电影,http://183.215.116.134:6610/180000001001/00000001000000000050000000448841/main.m3u8?IASHttpSessionId=OTT
CHC家庭影院,http://183.215.116.134:6610/180000001001/00000001000000000050000000448840/main.m3u8?IASHttpSessionId=OTT
CHC动作电影,http://tvgslb.hn.chinamobile.com:8089/180000001002/00000001000000000050000000448842/main.m3u8?stbid=
CHC家庭影院,http://tvgslb.hn.chinamobile.com:8089/180000001002/00000001000000000050000000448840/main.m3u8?stbid=
CHC影迷电影,http://tvgslb.hn.chinamobile.com:8089/180000001002/00000001000000000050000000448841/main.m3u8?stbid=



第一剧场,http://tvgslb.hn.chinamobile.com:8089/180000001002/00000001000000000091000000244808/main.m3u8?stbid=
风云剧场,http://tvgslb.hn.chinamobile.com:8089/180000001002/00000001000000000091000000244807/main.m3u8?stbid=
怀旧剧场,http://tvgslb.hn.chinamobile.com:8089/180000001002/00000001000000000091000000244806/main.m3u8?stbid=

兵器科技,http://tvgslb.hn.chinamobile.com:8089/180000001002/00000001000000000091000000244796/main.m3u8?stbid=



北京卫视,P2p://66.42.60.221:6001/6864b08500071d0904dad32e30a033b7.ts
天津卫视,P2p://66.42.60.221:6001/686ddd370000150304a4e590e933d517.ts
东方卫视,P2p://66.42.60.221:6001/686dcf7c0001fad1046f4395dde3e279.ts
东南卫视,P2p://66.42.60.221:6001/6871270500074b7f020a22494b3c88f1.ts
海南卫视,P2p://66.42.60.221:6001/687119f9000c080101d72ca08b5ab8ee.ts
广东卫视,P2p://66.42.60.221:6001/686ddcf20005302304a3d957e15e5958.ts
广西卫视,P2p://66.42.60.221:6001/687125ac000a95770204df7928a7f934.ts
深圳卫视,P2p://66.42.60.221:6001/686ddd1300073a5204a45ac5d0b82a48.ts
江苏卫视,P2p://66.42.60.221:6001/685d5ebf000d020002033517ca4e6d40.ts
江西卫视,P2p://66.42.60.221:6001/68711ea40007b7b801e9677d294543f9.ts
浙江卫视,P2p://66.42.60.221:6001/685d5ea6000c37680202d33bac1d09cb.ts
湖南卫视,P2p://66.42.60.221:6001/685d5e830009074d020249b2bd93ff1f.ts
湖北卫视,P2p://66.42.60.221:6001/68712590000670a70204710905df733e.ts
安徽卫视,P2p://66.42.60.221:6001/6864b061000a80f404da476caa9b38e0.ts
山东卫视,P2p://66.42.60.221:6001/68711e7c0004c32001e8ca7b1ecd60d8.ts
山西卫视,P2p://66.42.60.221:6001/68711ae7000c5e5301dace668f2f4ff9.ts
河南卫视,P2p://66.42.60.221:6001/687119d30003191d01d695e6c62bb1e4.ts
河北卫视,P2p://66.42.60.221:6001/687127430003d9c4020b1398c7364d37.ts
龙江卫视,P2p://66.42.60.221:6001/68711b0f0001c47201db67efec857727.ts
吉林卫视,P2p://66.42.60.221:6001/6871272b0004097d020ab5e4b9027b3e.ts
辽宁卫视,P2p://66.42.60.221:6001/68712552000575a702037e992553d792.ts
云南卫视,P2p://66.42.60.221:6001/687119b40000d42e01d61c3a6e2de654.ts
贵州卫视,P2p://66.42.60.221:6001/6871250d000bd1c9020272b278641747.ts
四川卫视,P2p://66.42.60.221:6001/687124d9000f0bc20201a86576584787.ts
重庆卫视,P2p://66.42.60.221:6001/687126c7000f3c9602093222f407dd33.ts
陕西卫视,P2p://66.42.60.221:6001/68711a1b0008a7c201d7b093a02cade2.ts
甘肃卫视,P2p://66.42.60.221:6001/68711a470007ee2c01d85c4361784c9d.ts
青海卫视,P2p://66.42.60.221:6001/68711b4e00011eda01dc5dddbd2ccd8c.ts
内蒙卫视,P2p://66.42.60.221:6001/68711b0f0001c47201db67efec857727.ts
西藏卫视,P2p://66.42.60.221:6001/68711a9f0007e1fe01d9b400f195c98c.ts
新疆卫视,P2p://66.42.60.221:6001/68711ac7000d730101da51adec879fb8.ts


东方卫视,http://k.061899.xyz/m.php?id=dfws
