🇨🇳央视IPTV,#genre#
CCTV1,http://121.19.134.123:808/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$线路77
CCTV1,http://116.9.204.242:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$线路78
CCTV1,http://116.9.204.242:9901/tsfile/live/0001_1.m3u8$线路79
CCTV1,http://123.160.153.186:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0$线路80
CCTV1,http://123.159.126.196:9901/tsfile/live/0001_1.m3u8?key=txiptv$线路81
CCTV1,http://163.142.186.49:9901/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0$线路82
CCTV1,http://163.142.186.56:9901/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0$线路83
CCTV1,http://163.142.186.48:9901/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0$线路84
CCTV1,http://163.142.186.48:9901/tsfile/live/1001_1.m3u8$线路85
CCTV1,http://101.74.29.26:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$线路86
CCTV1,http://106.115.24.120:9901/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0$线路87
CCTV1,http://106.115.24.120:9901/tsfile/live/1000_1.m3u8?key=txiptv$线路88
CCTV1,http://qjrhc.jydjd.top:2911/udp/224.1.100.89:11111$线路89
CCTV1,http://101.74.28.66:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$线路90
CCTV1,http://115.48.160.227:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$线路91
CCTV1,http://101.74.31.41:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$线路92
CCTV1,http://112.132.10.54:9901/tsfile/live/0001_1.m3u8?key=txiptv$线路93
CCTV1,http://106.115.25.109:9901/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0$线路94
CCTV1,http://61.156.228.12:8154/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$线路95
CCTV1,http://61.156.228.12:8154/tsfile/live/0001_1.m3u8$线路96
CCTV1,http://223.241.247.214:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$线路97
CCTV1,http://223.241.247.214:9901/tsfile/live/0001_1.m3u8$线路98
CCTV1,http://171.213.243.174:11111/rtp/239.93.0.184:5140$线路99
CCTV1,http://113.15.109.216:59901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$线路100
CCTV1,http://112.234.23.227:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$线路101
CCTV1,http://101.74.29.163:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$线路102
CCTV1,http://101.74.28.209:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$线路103
CCTV1,http://222.169.85.8:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$线路104
CCTV1,http://222.169.85.8:9901/tsfile/live/0001_1.m3u8$线路105
CCTV1,http://125.42.151.219:9901/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0$线路106
CCTV1,http://218.104.239.114:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$线路107
CCTV1,http://218.104.239.114:9901/tsfile/live/0001_1.m3u8?key=txiptv&url=tvzb.com$线路108
CCTV1,http://221.2.148.205:8154/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$线路109
CCTV1,http://221.199.193.180:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$线路110
CCTV1,http://183.215.134.239:19901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$线路111
CCTV1,http://218.89.240.144:59901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$线路112
CCTV1,http://218.89.240.144:59901/tsfile/live/0001_1.m3u8$线路113
CCTV1,http://101.66.198.186:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0$线路114
CCTV1,http://61.184.46.85:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$线路115
CCTV1,http://61.184.46.85:9901/tsfile/live/0001_1.m3u8?key=txiptv$线路116
CCTV1,http://110.80.17.38:9999/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0$线路117
CCTV1,http://27.15.4.255:9901/tsfile/live/0001_1.m3u8?key=txiptv$线路118
