斯玛特 央卫,#genre#
三立新闻,http://150.138.77.132:10037/xxw/Smartv.php?id=inews_twn
东森综合,http://150.138.77.132:10037/xxw/Smartv.php?id=ettvzhonghe
东森超视,http://150.138.77.132:10037/xxw/Smartv.php?id=ettvsuper
东森戏剧,http://150.138.77.132:10037/xxw/Smartv.php?id=ettvdrama
东森财经,http://150.138.77.132:10037/xxw/Smartv.php?id=ettvcaijing_twn
东森电影,http://150.138.77.132:10037/xxw/Smartv.php?id=ettvmovie
东森洋片,http://150.138.77.132:10037/xxw/Smartv.php?id=ettvwestern
东森幼幼,http://150.138.77.132:10037/xxw/Smartv.php?id=yoyo_twn
龙华洋片,http://150.138.77.132:10037/xxw/Smartv.php?id=lunghuawestern_twn
龙详时代,http://150.138.77.132:10037/xxw/Smartv.php?id=lungxiangtime_twn
龙华戏剧,http://150.138.77.132:10037/xxw/Smartv.php?id=lunghuaxiju_twn
龙华偶像,http://150.138.77.132:10037/xxw/Smartv.php?id=lunghuaidol_twn
龙华卡通,http://150.138.77.132:10037/xxw/Smartv.php?id=jingtiancartoon_twn
靖天卡通,http://150.138.77.132:10037/xxw/Smartv.php?id=jingtiancartoon_twn
靖天国际,http://150.138.77.132:10037/xxw/Smartv.php?id=jingtianintl_twn
探索亚洲,http://150.138.77.132:10037/xxw/Smartv.php?id=discoverytwn_twn
卫视中文,http://150.138.77.132:10037/xxw/Smartv.php?id=weishichinese_twn
卫视电影,http://150.138.77.132:10037/xxw/Smartv.php?id=weishimovie_twn
美亚电影,http://150.138.77.132:10037/xxw/Smartv.php?id=meiyamovie_twn
星卫电影,http://150.138.77.132:10037/xxw/Smartv.php?id=xingwei_movie
旅游生活,http://150.138.77.132:10037/xxw/Smartv.php?id=tlc_twn
亚洲旅游,http://150.138.77.132:10037/xxw/Smartv.php?id=asiatravel_twn
亚洲美食,http://150.138.77.132:10037/xxw/Smartv.php?id=afc_twn
美食星球,http://150.138.77.132:10037/xxw/Smartv.php?id=foodplanet_twn
动物星球,http://150.138.77.132:10037/xxw/Smartv.php?id=AnimalPlanet
动物星球1,http://150.138.77.132:10037/xxw/Smartv.php?id=animalplanet_twn
博斯网球,http://150.138.77.132:10037/xxw/Smartv.php?id=bositennis_twn
博斯运动1,http://150.138.77.132:10037/xxw/Smartv.php?id=bosisport1_twn
博斯高球2,http://150.138.77.132:10037/xxw/Smartv.php?id=bosigolf2_twn
博斯运动2,http://150.138.77.132:10037/xxw/Smartv.php?id=bosisport2_twn
