香港频道,#genre#
台视新闻台,https://live.catvod.com/smart.php?id=ttvnews_twn
台视综合台,https://live.catvod.com/smart.php?id=ttvzhonghe
中视 HD,https://live.catvod.com/smart.php?id=zhongshihd_twn
中视新闻台,https://live.catvod.com/smart.php?id=zhongshinews_twn
民视 HD,https://live.catvod.com/smart.php?id=ftvhd_taiwan
民视新闻台 FTV News,https://live.catvod.com/smart.php?id=ftvnew_taiwan
民视台湾台,https://live.catvod.com/smart.php?id=ftvtaiwan_twn
华视 CTS HD,https://live.catvod.com/smart.php?id=ctshd_twn
公视 CTV,https://live.catvod.com/smart.php?id=ctv18_twn
八大第一 GTV First,https://live.catvod.com/smart.php?id=badafirst
八大综合 GTV Metro,https://live.catvod.com/smart.php?id=badazhonghe
八大戏剧 GTV Drama,https://live.catvod.com/smart.php?id=badadrama
HBO_HD,https://live.catvod.com/smart.php?id=hbohd_twn
HBO_HITS,https://live.catvod.com/smart.php?id=hbohit_twn
Hollywood Movies,https://live.catvod.com/smart.php?id=hollywoodmovies_twn
三立台湾 Sanli Taiwan,https://live.catvod.com/smart.php?id=sanlitaiwan
三立戏剧台,https://live.catvod.com/smart.php?id=sanlixiju_twn
三立综合 Sanli Metro,https://live.catvod.com/smart.php?id=sanlizhonghe
三立都会台,https://live.catvod.com/smart.php?id=sanlidouhui
东森新闻 ETTV News,https://live.catvod.com/smart.php?id=ettvnews
CINEMAX,https://live.catvod.com/smart.php?id=cinemax_twn
东森综合 ETTV Metro,https://live.catvod.com/smart.php?id=ettvzhonghe
东森戏剧 ETTV Drama,https://live.catvod.com/smart.php?id=ettvdrama
东森超视,https://live.catvod.com/smart.php?id=ettvsuper
东森财经新闻 ETTV Business,https://live.catvod.com/smart.php?id=ettvcaijing_twn
寰宇财经,https://live.catvod.com/smart.php?id=huanyutaiwan_twn
寰宇新闻台,https://live.catvod.com/smart.php?id=huanyuxinwen_twn
公视2,https://live.catvod.com/smart.php?id=ctv2_twn
大爱1台,https://live.catvod.com/smart.php?id=daai_twn
非凡新闻台,https://live.catvod.com/smart.php?id=feifannews_twn
龙华戏剧 Lunghua Drama,https://live.catvod.com/smart.php?id=lunghuaxiju_twn
龙华经典台,https://live.catvod.com/smart.php?id=lunghuajingdian_twn
龙华偶像,https://live.catvod.com/smart.php?id=lunghuaidol_twn
AXN Taiwan,https://live.catvod.com/smart.php?id=axn_twn
靖天国际台,https://live.catvod.com/smart.php?id=jingtianintl_twn
年代新闻,https://live.catvod.com/smart.php?id=niandainews_twn
纬来日本台,https://live.catvod.com/smart.php?id=videolandjapan
纬来电影台,https://live.catvod.com/smart.php?id=videolandmovie
纬来体育台,https://live.catvod.com/smart.php?id=videolandsport
纬来综合台,https://live.catvod.com/smart.php?id=videolandzonghe
纬来育乐,https://live.catvod.com/smart.php?id=videolandyule
纬来精彩,https://live.catvod.com/smart.php?id=videolandspecial_twn
好消息 2,https://live.catvod.com/smart.php?id=good2_twn
大爱2台,https://live.catvod.com/smart.php?id=daai2_twn
亚洲美食,https://live.catvod.com/smart.php?id=afc_twn
美食星球,https://live.catvod.com/smart.php?id=foodplanet_twn
亚洲旅游 TLC Asia,https://live.catvod.com/smart.php?id=tlc_twn
东森电影 ETTV Movie,https://live.catvod.com/smart.php?id=ettvmovie
阿里郎 Arirang,https://live.catvod.com/smart.php?id=arirang_twn
博斯运动 1,https://live.catvod.com/smart.php?id=bosisport1_twn
博斯运动 2,https://live.catvod.com/smart.php?id=bosisport2_twn
博斯高球2 HD,https://live.catvod.com/smart.php?id=bosigolf2_twn
博斯网球 HD,https://live.catvod.com/smart.php?id=bositennis_twn
东森洋片 ETTV Western,https://live.catvod.com/smart.php?id=ettvwestern
龙华洋片 Lunghua Western,https://live.catvod.com/smart.php?id=lunghuawestern_twn
博斯无限,https://live.catvod.com/smart.php?id=bosiunlimited_twn
MTV Live,https://live.catvod.com/smart.php?id=mtvhd_twn
龙详时代,https://live.catvod.com/smart.php?id=lungxiangtime_twn
EYETV 旅游,https://live.catvod.com/smart.php?id=eyetvtravel_twn
靖天卡通台,https://live.catvod.com/smart.php?id=jingtiancartoon_twn
EYETV 戏剧,https://live.catvod.com/smart.php?id=eyetvxiju_twn
卫视中文台 Star Movies Chinese,https://live.catvod.com/smart.php?id=weishichinese_twn
东森幼幼 Yoyo TV,https://live.catvod.com/smart.php?id=yoyo_twn
卫视电影台,https://live.catvod.com/smart.php?id=weishimovie_twn
美亚电影,https://live.catvod.com/smart.php?id=meiyamovie_twn
爱尔达影剧台,https://live.catvod.com/smart.php?id=eltayingju_twn
爱尔达综合台,https://live.catvod.com/smart.php?id=eltazonghe_twn
星卫电影,https://live.catvod.com/smart.php?id=xingwei_movie
AFC 亚洲旅游台,https://live.catvod.com/smart.php?id=asiatravel_twn

电影频道,#genre#
Cinemax,https://live.catvod.com/smart.php?id=Cinemax
Animax,https://live.catvod.com/smart.php?id=Animax
Movies Now HD,https://live.catvod.com/smart.php?id=moviesnow_raj
Star Movies HD,https://live.catvod.com/smart.php?id=starmovies_raj
HBO Family,https://live.catvod.com/smart.php?id=Hbofamily
Hits,https://live.catvod.com/smart.php?id=Hits
Warner TV,https://live.catvod.com/smart.php?id=WarnerTV
HBO HD,https://live.catvod.com/smart.php?id=Hbo
HBO Signature,https://live.catvod.com/smart.php?id=Hbosignature
HBO Hits,https://live.catvod.com/smart.php?id=Hbohitshd
SCM,https://live.catvod.com/smart.php?id=Weishimovie
Dreamworks,https://live.catvod.com/smart.php?id=Dreamworks
Thrill,https://live.catvod.com/smart.php?id=Thrill
Hits Movie,https://live.catvod.com/smart.php?id=Hitsmovie
One,https://live.catvod.com/smart.php?id=One
tvN Movie,https://live.catvod.com/smart.php?id=Tvnmovie
Celestial Classic,https://live.catvod.com/smart.php?id=Celestial2
Celestial Movies HD,https://live.catvod.com/smart.php?id=Celestialindo
Axn HD,https://live.catvod.com/smart.php?id=Axn
Paramount Network,https://live.catvod.com/smart.php?id=Paramountnetwork
Astrol Kplus,https://live.catvod.com/smart.php?id=Kplus
Rock Actions,https://live.catvod.com/smart.php?id=Rockaction
Rock Entertainment,https://live.catvod.com/smart.php?id=Rockentertain

记录频道,#genre#
Natgeo_HD,https://live.catvod.com/smart.php?id=natgeohd_twn
NatGeo_Wild HD,https://live.catvod.com/smart.php?id=natgeowild_twn
Animal_Planet,https://live.catvod.com/smart.php?id=animalplanet_twn
Discovery Asia,https://live.catvod.com/smart.php?id=discoverytwn_twn
CI,https://live.catvod.com/smart.php?id=ci_twn
Discovery HD,https://live.catvod.com/smart.php?id=discoveryhd_twn
NatGeo HD,https://live.catvod.com/smart.php?id=Natgeo
Fashion TV,https://live.catvod.com/smart.php?id=fashiontv_twn
History,https://live.catvod.com/smart.php?id=History
BBC Earth HD,https://live.catvod.com/smart.php?id=bbcearth_twn
BBC Earth Lifestyle,https://live.catvod.com/smart.php?id=bbclifestyle_twn
NatGeo Wild HD,https://live.catvod.com/smart.php?id=Natgeowild
Animal Planet (Eng),https://live.catvod.com/smart.php?id=AnimalPlanet
TLC,https://live.catvod.com/smart.php?id=Tlc
Foodnetwork Hd,https://live.catvod.com/smart.php?id=Foodnetwork
HGTV,https://live.catvod.com/smart.php?id=HGTV

新闻频道,#genre#
Skynews,https://live.catvod.com/smart.php?id=skynews_twn
ABC News,https://live.catvod.com/smart.php?id=abcnews_glo
CBS HD,https://live.catvod.com/smart.php?id=cbshd_glo
CBSN HD,https://live.catvod.com/smart.php?id=cbsn_glo
France 24,https://live.catvod.com/smart.php?id=france24_twn
DW (Deutsch),https://live.catvod.com/smart.php?id=dw_twn
NHK World,https://live.catvod.com/smart.php?id=nhkworld_japan
Fox News,https://live.catvod.com/smart.php?id=foxnews_twn
CNN International,https://live.catvod.com/smart.php?id=Cnn
CNN backup,https://live.catvod.com/smart.php?id=cnn_twn
CNBC,https://live.catvod.com/smart.php?id=cnbc_twn
CNA,https://live.catvod.com/smart.php?id=cna
BBC World News,https://live.catvod.com/smart.php?id=bbcnews_twn
BBC World News,https://live.catvod.com/smart.php?id=Bbcnews
Bloomberg News,https://live.catvod.com/smart.php?id=bloomberg_twn
Al-Jazeera,https://live.catvod.com/smart.php?id=aljazeera_twn

儿童频道,#genre#
Baby TV Eng,https://live.catvod.com/smart.php?id=Babytv
CBeebies,https://live.catvod.com/smart.php?id=Cbeebies
Kids TV,https://live.catvod.com/smart.php?id=KidsTV
Momo TV,https://live.catvod.com/smart.php?id=momo1_twn
Baby TV,https://live.catvod.com/smart.php?id=babytv_twn
MiaoMi,https://live.catvod.com/smart.php?id=MiaoMi
Cartoon Network,https://live.catvod.com/smart.php?id=Cn
Nickelodeon,https://live.catvod.com/smart.php?id=Nickelodeon
Nick Jr,https://live.catvod.com/smart.php?id=Nickjr

其它频道,#genre#
Channel 5,https://live.catvod.com/smart.php?id=Channel5HD
Channel 8,https://live.catvod.com/smart.php?id=Channel8HD
Suria,https://live.catvod.com/smart.php?id=Suria
Channel U,https://live.catvod.com/smart.php?id=ChannelU
Vasantham,https://live.catvod.com/smart.php?id=Vasantham
MeWatch Ch 5,https://live.catvod.com/smart.php?id=Mewatch_ch5
MeWatch Ch 8,https://live.catvod.com/smart.php?id=Mewatch_ch8
MeWatch Ch U,https://live.catvod.com/smart.php?id=Mewatch_chU
MeWatch Suria,https://live.catvod.com/smart.php?id=Mewatch_Suria
MeWatch Vasantham,https://live.catvod.com/smart.php?id=Mewatch_Vasantham
MeWatch CNA,https://live.catvod.com/smart.php?id=Mewatch_cna
TV1,https://live.catvod.com/smart.php?id=TV1
TV1 backup,https://live.catvod.com/smart.php?id=TV1_backup
TV2,https://live.catvod.com/smart.php?id=TV2
TV3,https://live.catvod.com/smart.php?id=TV3
TV3 SD,https://live.catvod.com/smart.php?id=TV3_mega
NTV7,https://live.catvod.com/smart.php?id=NTV7
TV8,https://live.catvod.com/smart.php?id=TV8
TV9,https://live.catvod.com/smart.php?id=TV9
Ria,https://live.catvod.com/smart.php?id=Ria
Ria-3,https://live.catvod.com/smart.php?id=Ria_backup
Al-Hijrah,https://live.catvod.com/smart.php?id=Alhijrah
Al-Hijrah backup,https://live.catvod.com/smart.php?id=Alhijrah_backup
Awani,https://live.catvod.com/smart.php?id=Awani
Bernama,https://live.catvod.com/smart.php?id=Bernama
Prima,https://live.catvod.com/smart.php?id=Prima
Prima backup,https://live.catvod.com/smart.php?id=AAprima1
Prima backup 2,https://live.catvod.com/smart.php?id=AAprima
Ceria,https://live.catvod.com/smart.php?id=Ceria
Astro MTV,https://live.catvod.com/smart.php?id=AstroMTV
Mecca Live HD,https://live.catvod.com/smart.php?id=quran_mido
Madinah HD,https://live.catvod.com/smart.php?id=sunnah_mido
Oasis,https://live.catvod.com/smart.php?id=Oasis
Siar,https://live.catvod.com/smart.php?id=Siar
Citra,https://live.catvod.com/smart.php?id=AAcitra
Citra backup,https://live.catvod.com/smart.php?id=AAcitra1
Sensasi,https://live.catvod.com/smart.php?id=Sensasi
Aura,https://live.catvod.com/smart.php?id=Aura
Rania,https://live.catvod.com/smart.php?id=Rania
KBS World,https://live.catvod.com/smart.php?id=KBS
Boo,https://live.catvod.com/smart.php?id=Boo
Awesome TV,https://live.catvod.com/smart.php?id=Dsangat
Astro Sonypix,https://live.catvod.com/smart.php?id=Asonypix
Sony HD,https://live.catvod.com/smart.php?id=SetOne
TvN,https://live.catvod.com/smart.php?id=TVN
